id,match_id,robot_id,created_at,created_by,updated_at,updated_by,available,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field15,field16,field17,field18,field19,field20,field21,field14,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field15,field16,field17,field18,field19,field20,field21,field14
116,Q46,3160,2023-04-07 21:18:28.484870,A,2023-04-07 21:18:28.484870,A,True,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,
117,Q47,2165,2023-04-07 21:26:29.049766,Ely,2023-04-07 21:26:29.049766,Ely,True,2,,,,,,0,2,,1.0,"['2', '3']",['1'],2,0,0,,0,2.0,2,,,,,,0,2,,1.0,"['2', '3']",['1'],2,0,0,,0,2.0
118,Q47,2352,2023-04-07 21:26:32.763495,A,2023-04-07 21:26:32.763495,A,True,,,,,,,,,,1.0,"['2', '1', '3']",['3'],0,,0,,0,4.0,,,,,,,,,,1.0,"['2', '1', '3']",['3'],0,,0,,0,4.0
119,Q47,8711,2023-04-07 21:26:37.072606,A,2023-04-07 21:26:37.072606,A,True,3,,,1.0,['3'],['2'],1,,,,,,0,0,1,,0,,3,,,1.0,['3'],['2'],1,,,,,,0,0,1,,0,
120,Q47,8191,2023-04-07 21:27:04.586347,Saris ,2023-04-07 21:27:04.586347,Saris ,True,1,0.0,,0.0,[],,0,,2.0,,"['1', '3']",['1'],1,0,0,,0,,1,0.0,,0.0,[],,0,,2.0,,"['1', '3']",['1'],1,0,0,,0,
121,Q47,1750,2023-04-07 21:27:58.908948,Saris,2023-04-07 21:27:58.908948,Saris,True,3,,,,,,0,,3.0,,"['2', '3']",['2'],0,0,0,,0,,3,,,,,,0,,3.0,,"['2', '3']",['2'],0,0,0,,0,
122,Q47,2333,2023-04-07 21:28:16.836814,Ely,2023-04-07 21:28:16.836814,Ely,True,3,,,,,,1,1,,,"['2', '3']",['3'],2,0,0,,0,2.0,3,,,,,,1,1,,,"['2', '3']",['3'],2,0,0,,0,2.0
123,Q48,3507,2023-04-07 21:33:00.543270,A,2023-04-07 21:33:00.543270,A,True,,,,,,,,,,,,['2'],0,,0,0.0,1,,,,,,,,,,,,,['2'],0,,0,0.0,1,
124,Q48,6026,2023-04-07 21:33:01.701492,A,2023-04-07 21:33:01.701492,A,True,,,,,,,,,2.0,,"['1', '3']",['3'],2,0,0,0.0,0,1.0,,,,,,,,,2.0,,"['1', '3']",['3'],2,0,0,0.0,0,1.0
125,Q48,8752,2023-04-07 21:33:17.864078,Saris,2023-04-07 21:33:17.864078,Saris,True,3,,,,,,1,,2.0,,['3'],['2'],,0,0,,1,,3,,,,,,1,,2.0,,['3'],['2'],,0,0,,1,
126,Q48,1806,2023-04-07 21:34:02.335764,Ely,2023-04-07 21:34:02.335764,Ely,True,2,,,1.0,['2'],['2'],,,1.0,,"['2', '3']",['1'],2,0,0,,0,2.0,2,,,1.0,['2'],['2'],,,1.0,,"['2', '3']",['1'],2,0,0,,0,2.0
127,Q48,7744,2023-04-07 21:34:06.415595,Saris,2023-04-07 21:34:06.415595,Saris,True,2,0.0,0.0,,[],[],0,,2.0,1.0,"['3', '2']",['2'],2,0,0,,1,,2,0.0,0.0,,[],[],0,,2.0,1.0,"['3', '2']",['2'],2,0,0,,1,
128,Q48,7483,2023-04-07 21:34:25.759001,Ely,2023-04-07 21:34:25.759001,Ely,True,1,,,1.0,['3'],,1,,1.0,,['2'],,2,0,0,,0,0.0,1,,,1.0,['3'],,1,,1.0,,['2'],,2,0,0,,0,0.0
129,Q49,6424,2023-04-07 21:40:33.147146,Ely,2023-04-07 21:40:33.147146,Ely,True,2,,,1.0,['2'],['1'],1,2,1.0,,"['2', '3', '1']",['3'],2,0,0,4.0,0,4.0,2,,,1.0,['2'],['1'],1,2,1.0,,"['2', '3', '1']",['3'],2,0,0,4.0,0,4.0
130,Q49,2410,2023-04-07 21:40:51.846202,A,2023-04-07 21:40:51.846202,A,True,3,,,,,,1,,5.0,,"['1', '2', '3']",['2'],2,0,0,,0,,3,,,,,,1,,5.0,,"['1', '2', '3']",['2'],2,0,0,,0,
131,Q49,9244,2023-04-07 21:40:52.708050,A,2023-04-07 21:40:52.708050,A,True,1,,,,,['2'],,,1.0,,,['2'],,0,0,,0,,1,,,,,['2'],,,1.0,,,['2'],,0,0,,0,
132,Q49,2341,2023-04-07 21:41:00.005265,Ely,2023-04-07 21:41:00.005265,Ely,True,2,,,,,,0,,1.0,,"['2', '1']",['3'],,0,0,,1,1.0,2,,,,,,0,,1.0,,"['2', '1']",['3'],,0,0,,1,1.0
133,Q49,3163,2023-04-07 21:41:34.727385,Saris ,2023-04-07 21:41:34.727385,Saris ,True,3,,,,,,,,0.0,1.0,['3'],['2'],,1,0,,0,,3,,,,,,,,0.0,1.0,['3'],['2'],,1,0,,0,
134,Q49,8163,2023-04-07 21:41:58.557211,Saris ,2023-04-07 21:41:58.557211,Saris ,True,,,,,,,0,,,,,,,,,,1,,,,,,,,0,,,,,,,,,,1,
135,Q50,1209,2023-04-07 21:46:35.738881,Armando ,2023-04-07 21:46:35.738881,Armando ,True,3,,,,,,,,,,,,0,,,,1,,3,,,,,,,,,,,,0,,,,1,
136,Q50,935,2023-04-07 21:46:45.347458,Armando ,2023-04-07 21:46:45.347458,Armando ,True,3,1.0,,,,['2'],0,,1.0,,"['1', '3']",['2'],2,0,0,,0,2.0,3,1.0,,,,['2'],0,,1.0,,"['1', '3']",['2'],2,0,0,,0,2.0
137,Q50,5013,2023-04-07 21:47:02.132823,Ely,2023-04-07 21:47:02.132823,Ely,True,2,,,1.0,['2'],['2'],0,2,,0.0,['2'],['1'],,0,0,0.0,1,2.0,2,,,1.0,['2'],['2'],0,2,,0.0,['2'],['1'],,0,0,0.0,1,2.0
138,Q50,4646,2023-04-07 21:47:24.791054,Ely,2023-04-07 21:47:24.791054,Ely,True,2,,,1.0,['2'],['2'],0,2,1.0,1.0,"['2', '1']",['1'],2,0,1,4.0,0,2.0,2,,,1.0,['2'],['2'],0,2,1.0,1.0,"['2', '1']",['1'],2,0,1,4.0,0,2.0
139,Q50,5006,2023-04-07 21:48:06.666687,Saris,2023-04-07 21:48:06.666687,Saris,True,1,,,,,,,,2.0,,"['1', '2']",['3'],0,0,1,7.0,0,2.0,1,,,,,,,,2.0,,"['1', '2']",['3'],0,0,1,7.0,0,2.0
140,Q50,3931,2023-04-07 21:49:14.638809,Saris,2023-04-07 21:49:14.638809,Saris,True,1,,1.0,,['1'],['2'],1,,3.0,1.0,"['1', '2']",['2'],0,0,1,7.0,0,,1,,1.0,,['1'],['2'],1,,3.0,1.0,"['1', '2']",['2'],0,0,1,7.0,0,
141,Q51,1986,2023-04-07 22:03:10.347056,Ely,2023-04-07 22:03:10.347056,Ely,True,3,,,1.0,['1'],['2'],0,,1.0,,['2'],['1'],2,0,0,,0,1.0,3,,,1.0,['1'],['2'],0,,1.0,,['2'],['1'],2,0,0,,0,1.0
146,Q52,2395,2023-04-07 22:11:41.429282,Ely,2023-04-07 22:11:41.429282,Ely,True,2,,1.0,,['2'],,0,2,,1.0,['2'],['1'],,0,0,,0,,2,,1.0,,['2'],,0,2,,1.0,['2'],['1'],,0,0,,0,
148,Q53,5550,2023-04-07 22:18:55.943243,A,2023-04-07 22:18:55.943243,A,True,,,,,,,,2,1.0,,['1'],['3'],2,0,0,,0,2.0,,,,,,,,2,1.0,,['1'],['3'],2,0,0,,0,2.0
149,Q53,8064,2023-04-07 22:19:18.426040,Ely,2023-04-07 22:19:18.426040,Ely,True,1,,,,,,0,,,2.0,"['2', '3']",['1'],2,0,0,,0,,1,,,,,,0,,,2.0,"['2', '3']",['1'],2,0,0,,0,
150,Q53,8711,2023-04-07 22:19:22.919074,Ely,2023-04-07 22:19:22.919074,Ely,True,1,,,1.0,['3'],['2'],0,,1.0,1.0,"['2', '1']",['2'],,0,1,1.0,0,,1,,,1.0,['3'],['2'],0,,1.0,1.0,"['2', '1']",['2'],,0,1,1.0,0,
152,Q54,6809,2023-04-07 22:26:28.628435,A,2023-04-07 22:26:28.628435,A,True,3,,,,,,1,,4.0,1.0,,,2,,,,,,3,,,,,,1,,4.0,1.0,,,2,,,,,
155,Q55,4005,2023-04-07 22:38:29.691439,Ely,2023-04-07 22:38:29.691439,Ely,True,2,,1.0,,['2'],,0,,2.0,,"['3', '2']",['2'],1,0,0,,0,2.0,2,,1.0,,['2'],,0,,2.0,,"['3', '2']",['2'],1,0,0,,0,2.0
157,Q55,2357,2023-04-07 22:38:33.379510,A,2023-04-07 22:38:33.379510,A,True,,,,,,,,,4.0,,"['1', '3']",['2'],1,0,0,,0,,,,,,,,,,4.0,,"['1', '3']",['2'],1,0,0,,0,
160,Q56,6026,2023-04-07 22:45:39.273296,A,2023-04-07 22:45:39.273296,A,True,2,,,,,,,,,,,['2'],2,,,,,3.0,2,,,,,,,,,,,['2'],2,,,,,3.0
161,Q56,2410,2023-04-07 22:46:11.537018,Ely,2023-04-07 22:46:11.537018,Ely,True,2,,,,,,,2,2.0,,['3'],['2'],2,1,0,,0,,2,,,,,,,2,2.0,,['3'],['2'],2,1,0,,0,
165,Q57,1561,2023-04-07 22:54:43.701851,Ely,2023-04-07 22:54:43.701851,Ely,True,2,,,,,,0,2,6.0,,"['2', '3', '1']",['2'],2,0,1,3.0,0,,2,,,,,,0,2,6.0,,"['2', '3', '1']",['2'],2,0,1,3.0,0,
142,Q51,2773,2023-04-07 22:03:45.677499,Ely,2023-04-07 22:03:45.677499,Ely,True,1,,,1.0,['3'],['1'],0,,,1.0,['2'],['1'],,0,0,,0,,1,,,1.0,['3'],['1'],0,,,1.0,['2'],['1'],,0,0,,0,
143,Q52,8086,2023-04-07 22:09:41.492461,A,2023-04-07 22:09:41.492461,A,True,3,1.0,,,['1'],['2'],1,,,,,,1,,,,,,3,1.0,,,['1'],['2'],1,,,,,,1,,,,,
144,Q52,1750,2023-04-07 22:09:42.464633,A,2023-04-07 22:09:42.464633,A,True,1,1.0,,,['1'],['1'],,,1.0,,,,,,,,1,,1,1.0,,,['1'],['1'],,,1.0,,,,,,,,1,
145,Q52,2352,2023-04-07 22:11:10.051354,Ely,2023-04-07 22:11:10.051354,Ely,True,2,,,1.0,['2'],['2'],0,,1.0,,['2'],['1'],2,0,0,,0,2.0,2,,,1.0,['2'],['2'],0,,1.0,,['2'],['1'],2,0,0,,0,2.0
147,Q53,3179,2023-04-07 22:18:49.817526,A,2023-04-07 22:18:49.817526,A,True,,,,,,,1,,1.0,,['3'],,1,0,0,,0,,,,,,,,1,,1.0,,['3'],,1,0,0,,0,
151,Q54,2165,2023-04-07 22:26:27.310734,A,2023-04-07 22:26:27.310734,A,True,1,,,,,,1,,,,,,2,,,,,1.0,1,,,,,,1,,,,,,2,,,,,1.0
153,Q54,6832,2023-04-07 22:30:44.199342,Ely,2023-04-07 22:30:44.199342,Ely,True,2,1.0,,,['2'],['2'],0,,1.0,2.0,"['2', '3']",['2'],2,0,0,,0,0.0,2,1.0,,,['2'],['2'],0,,1.0,2.0,"['2', '3']",['2'],2,0,0,,0,0.0
154,Q54,8191,2023-04-07 22:32:05.961525,Ely,2023-04-07 22:32:05.961525,Ely,True,1,,,,,,0,,,,,,2,0,0,,1,,1,,,,,,0,,,,,,2,0,0,,1,
156,Q55,2333,2023-04-07 22:38:32.205790,A,2023-04-07 22:38:32.205790,A,True,,,,,,,,,,,"['1', '2', '3']",['1'],1,0,0,,0,4.0,,,,,,,,,,,"['1', '2', '3']",['1'],1,0,0,,0,4.0
158,Q55,8136,2023-04-07 22:38:51.935811,Ely,2023-04-07 22:38:51.935811,Ely,True,2,,,,,,0,2,,,,,,0,0,,1,,2,,,,,,0,2,,,,,,0,0,,1,
159,Q56,5006,2023-04-07 22:45:38.534217,A,2023-04-07 22:45:38.534217,A,True,1,,,,,,,,2.0,,['1'],['2'],0,,,,,,1,,,,,,,,2.0,,['1'],['2'],0,,,,,
162,Q56,3163,2023-04-07 22:47:15.216850,Ely,2023-04-07 22:47:15.216850,Ely,True,1,,,,,,0,,1.0,,['1'],['2'],,0,0,,0,,1,,,,,,0,,1.0,,['1'],['2'],,0,0,,0,
163,Q57,8086,2023-04-07 22:54:17.344884,Armando ,2023-04-07 22:54:17.344884,Armando ,True,3,,1.0,,,['2'],,,1.0,,,,0,0,1,6.0,0,,3,,1.0,,,['2'],,,1.0,,,,0,0,1,6.0,0,
164,Q57,9244,2023-04-07 22:54:17.739670,Armando,2023-04-07 22:54:17.739670,Armando,True,2,,1.0,,[],['2'],,,,,,,,0,1,4.0,1,,2,,1.0,,[],['2'],,,,,,,,0,1,4.0,1,
166,Q57,3931,2023-04-07 22:55:46.731559,Ely,2023-04-07 22:55:46.731559,Ely,True,2,,,,,,,2,2.0,1.0,['1'],['2'],,0,0,,0,,2,,,,,,,2,2.0,1.0,['1'],['2'],,0,0,,0,
