id,match_id,robot_id,created_at,created_by,updated_at,updated_by,available,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field15,field16,field17,field18,field19,field20,field21,field14,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field15,field16,field17,field18,field19,field20,field21,field14
39,Q14,1986,2023-04-07 16:01:41.114705,Grecia,2023-04-07 16:01:41.114705,Grecia,True,3,1.0,,1.0,['3'],['2'],1,,1.0,,['3'],['3'],2,0,0,,0,1.0,3,1.0,,1.0,['3'],['2'],1,,1.0,,['3'],['3'],2,0,0,,0,1.0
40,Q15,6832,2023-04-07 16:07:15.586328,Armando,2023-04-07 16:07:15.586328,Armando,True,1,1.0,,,['3'],['2'],0,,1.0,,['3'],['2'],0,0,0,,0,,1,1.0,,,['3'],['2'],0,,1.0,,['3'],['2'],0,0,0,,0,
41,Q16,2410,2023-04-07 16:14:30.972735,Armando ,2023-04-07 16:14:30.972735,Armando ,True,3,,,,,,1,,1.0,1.0,['3'],['2'],2,0,0,,0,,3,,,,,,1,,1.0,1.0,['3'],['2'],2,0,0,,0,
42,Q15,4646,2023-04-07 16:14:59.122009,Saris,2023-04-07 16:14:59.122009,Saris,True,2,,1.0,,['2'],['2'],1,1,3.0,,"['2', '1']",['1'],1,0,1,8.0,0,,2,,1.0,,['2'],['2'],1,1,3.0,,"['2', '1']",['1'],1,0,1,8.0,0,
43,Q16,8191,2023-04-07 16:15:34.306826,Saris,2023-04-07 16:15:34.306826,Saris,True,3,,,,,,0,,,,,,1,0,0,,1,,3,,,,,,0,,,,,,1,0,0,,1,
44,Q16,2773,2023-04-07 16:15:46.232383,Ely,2023-04-07 16:15:46.232383,Ely,True,3,,,,,,1,,,,"['2', '3']",['1'],2,0,0,,0,3.0,3,,,,,,1,,,,"['2', '3']",['1'],2,0,0,,0,3.0
45,Q17,2373,2023-04-07 16:23:20.984415,A,2023-04-07 16:23:20.984415,A,True,,,,,,,,,1.0,1.0,['2'],,1,0,0,,,,,,,,,,,,1.0,1.0,['2'],,1,0,0,,,
46,Q17,2306,2023-04-07 16:23:21.987359,A,2023-04-07 16:23:21.987359,A,True,,,,,,,1,,,1.0,,['1'],2,0,0,,0,,,,,,,,1,,,1.0,,['1'],2,0,0,,0,
47,Q17,935,2023-04-07 16:23:40.282583,Ely,2023-04-07 16:23:40.282583,Ely,True,3,,,,,,0,,2.0,0.0,"['3', '2']",['1'],2,0,0,,0,1.0,3,,,,,,0,,2.0,0.0,"['3', '2']",['1'],2,0,0,,0,1.0
49,Q17,2341,2023-04-07 16:24:20.021872,Saris ,2023-04-07 16:24:20.021872,Saris ,True,3,,,,,,0,,,1.0,['3'],['1'],1,0,0,,0,,3,,,,,,0,,,1.0,['3'],['1'],1,0,0,,0,
52,Q18,3179,2023-04-07 16:29:37.116273,Ely,2023-04-07 16:29:37.116273,Ely,True,3,,,,,,0,,,,"['1', '2']",['1'],2,0,0,,0,3.0,3,,,,,,0,,,,"['1', '2']",['1'],2,0,0,,0,3.0
53,Q18,31,2023-04-07 16:30:10.010763,Saris,2023-04-07 16:30:10.010763,Saris,True,3,,1.0,,['3'],['2'],1,,,,,,0,0,0,,1,,3,,1.0,,['3'],['2'],1,,,,,,0,0,0,,1,
55,Q18,2165,2023-04-07 16:30:22.175526,Ely ,2023-04-07 16:30:22.175526,Ely ,True,2,,,1.0,['2'],,0,2,,,"['2', '1']",['3'],2,0,0,,0,3.0,2,,,1.0,['2'],,0,2,,,"['2', '1']",['3'],2,0,0,,0,3.0
56,Q18,2165,2023-04-07 16:31:12.568062,Saris,2023-04-07 16:31:12.568062,Saris,True,2,,1.0,,['2'],['1'],1,1,,3.0,"['1', '2', '3']",['3'],0,0,1,8.0,0,,2,,1.0,,['2'],['1'],1,1,,3.0,"['1', '2', '3']",['3'],0,0,1,8.0,0,
48,Q17,7744,2023-04-07 16:23:45.913175,Saris,2023-04-07 16:23:45.913175,Saris,True,2,,,,,,0,,,1.0,['2'],['1'],1,0,0,,0,,2,,,,,,0,,,1.0,['2'],['1'],1,0,0,,0,
